"Title, Author LN",Publication Date,Source
"Confessions of a Thug, Taylor",1839,ProQuest
"Confessions of an English Opium-Eater, De Quincey",1822,ProQuest
"Confidence, James",1879,Project Gutenberg
"Coningsby, Disraeli",1844,ProQuest
"Consequences, Delafield",1919,Project Gutenberg
"Corn-Law Rhymes, Carlyle",1832,ProQuest
"Count Robert of Paris, Scott",1832,Internet Archive
"Cousin Henry, Trollope",1879,Project Gutenberg
"Cradock Nowell, Blackmore",1866,Project Gutenberg
"Cranford, Gaskell",1853,Project Gutenberg
"Cripps the Carrier, Blackmore",1876,Project Gutenberg
"Criticism in Relation to Novels, Lewes",1866,ProQuest
"Criticism in, Essays in London and Elsewhere, James.txt",1893,ProQuest
"Cromwell An Historical Novel, vol 2",1838,ProQuest
"Crotchet Castle, Peacock",1831,ProQuest
"Culture and Anarchy, Arnold",1869,ProQuest
"Daniel Deronda, Eliot",1876,ProQuest
"Dante's Treatise De Vulgari Eloquentia, Dante and Howell.txt",1890,ProQuest
"Dariel, Blackmore",1897,Project Gutenberg
"Daughters of Danaus, Caird",1894,Project Gutenberg
"David Blaize, Benson",1916,Project Gutenberg
"David Elginbrod, Macdonald",1863,Project Gutenberg
"Dawn, Haggard",1884,Project Gutenberg
"De la Litérature considérée dans ses Rapports Review, Jeffrey",1844,ProQuest
"Death and Funeral of the Late Mr. Southey, Hunt",1817,ProQuest
"Defence of the Sonnets of Sir Philip Sydney, Lamb",1823,ProQuest
"Demos, Gissing",1886,Project Gutenberg
"Denis Duval, Thackeray",1864,ProQuest
"Denzil Quarrier, Gissing",1892,Project Gutenberg
"Dermont O'Brien; or, The Taking of Tredagh, Herbert",1849,ProQuest
"Desmond, Smith",1792,Internet Archive
"Desperate Remedies, Hardy",1871,Project Gutenberg
"Diana of the Crossways, Meredith",1885,Project Gutenberg
"Diary of a Pilgrimage, Jerome",1891,Project Gutenberg
"Dickens in Relation to Criticism, Lewes",1872,ProQuest
"Die Poesie und Beredsamkeit der Deutschen, Carlyle",1827,ProQuest
"Discourses in America, Arnold",1885,ProQuest
"Dissertation I. On the Idea of Universal Poetry, Hurd",1811,ProQuest
"Dissertation the Tenth, Campbell",1789,ProQuest
"Doctor Syn: A Tale of the Romney Marsh, Thorndike",1915,Internet Archive
"Doctor Therne, Haggard",1898,Project Gutenberg
"Doctor Thorne, Trollope",1858,ProQuest
"Doctor Wortle's School, Trollope",1881,Internet Archive
"Dombey and Son, Dickens",1848,ProQuest
"Dope, Rohmer",1919,Project Gutenberg
"Dorothy Forster, Besant",1884,ProQuest
"Dracula, Stoker",1897,ProQuest
"East Lynne, Wood",1861,ProQuest
"Eldorado, Orczy",1913,Project Gutenberg
"Eleanor, Ward",1900,Project Gutenberg
"Elissa, Haggard",1900,Project Gutenberg
"Elliott's Poems, Kingsley",1852,ProQuest
"Emma, Austen",1816,ProQuest
"Emmeline, Smith",1788,ProQuest
"Endymion and other Poems Review, Jeffrey",1844,ProQuest
"Endymion, Disraeli",1880,Project Gutenberg
"English Catholic Literature in, The Idea of a University Defined and Illustrated, Newman.txt",1873,ProQuest
"English Metrical Critics, Patmore",1857,ProQuest
"Ennui, Edgeworth",1809,ProQuest
"Enoc Huws, Owen",1891,Internet Archive
"Erema, Blackmore",1877,Project Gutenberg
"Erewhon Revisited, Butler",1901,Project Gutenberg
"Erewhon: or Over the Range, Butler",1872,ProQuest
"Eric Brighteyes, Haggard",1890,Project Gutenberg
"Eric, or, Little by Little, Farrar",1858,ProQuest
"Essay on the Athenians, Shelley",1840,ProQuest
"Essay on the Principles of Translation, Woodhouse",1791,ProQuest
"Essay on the Theatre, Goldsmith",1892,ProQuest
"Essays in Criticism, Arnold",1865,ProQuest
"Essays in Criticism: Second Series, Arnold",1888,ProQuest
"Essays On the Nature and Principles Of Taste, Alison",1790,ProQuest
"Essays on the Nature and Principles of Taste, Jeffrey.txt",1844,ProQuest
"Esther Waters, Moore",1894,ProQuest
"Eugene Aram, Lytton",1832,ProQuest
"Evan Harrington, Meredith",1860,ProQuest
"Eve's Ransom, Gissing",1895,Project Gutenberg
"Every Man His Own Poet, Mallock",1872,ProQuest
"Fabiola, Wiseman",1854,Project Gutenberg
"Fair Margaret, Haggard",1907,Project Gutenberg
"Falkner, Shelley",1837,ProQuest
"Far from the Madding Crowd, Hardy",1874,ProQuest
"Father Tom and the Pope, Ferguson",1868,ProQuest
"Felix Holt, the Radical, Eliot",1866,ProQuest
"Fiction Fair and Foul, Ruskin",1880,ProQuest
"Finished, Haggard",1917,Project Gutenberg
"Fire in Stubble, Orczy",1912,Project Gutenberg
"Five Children and It, Nesbit",1902,Project Gutenberg
"Flatland, Abbott",1884,Project Gutenberg
"Fleetwood: Or, the New Man Of Feeling, Godwin",1805,ProQuest
"Foul Play, Reade",1869,Project Gutenberg
"Framley Parsonage, Trollope",1860,ProQuest
"Frankenstein; Or The Modern Prometheus 1818, Shelley",1818,ProQuest
"Frankenstein: Or, The Modern Prometheus 1831, Shelley",1831,ProQuest
"From Nowhere to the North Pole, Hood",1875,Internet Archive
"Gallia, Dowie",1895,Internet Archive
"Gaston de Blondeville, Radcliffe",1826,Internet Archive
"General Preface, Waverly Novels, Scott",1829,ProQuest
"Genius and Discipline in Literature, Masson",1863,ProQuest
"Glenarvon, Lamb",1816,ProQuest
"Godolphin, Bulwer-Lytton",1833,Project Gutenberg
"Gone to Earth, Webb",1917,Project Gutenberg
"Great Expectations, Dickens",1861,ProQuest
"Greatheart, Dell",1918,Project Gutenberg
"Green Mansions, Hudson",1904,Project Gutenberg
"Greenmantle, Buchan",1916,Project Gutenberg
"Griffith Gaunt, Reade",1866,Project Gutenberg
"Gryll Grange, Peacock",1860,Project Gutenberg
"Guarica, the Charib Bride, Herbert",1844,ProQuest
"Guy and Pauline, Mackenzie",1915,Project Gutenberg
"Guy De Maupassant, James",1888,ProQuest
"Guy Fawkes, Ainsworth",1840,Project Gutenberg
"Guy Mannering, Scott",1815,ProQuest
"Hadrian the Seventh, Rolfe",1904,Project Gutenberg
"Handley Cross, Surtees",1854,ProQuest
"Hard Cash. A Matter-of-Fact Romance, Reade",1863,ProQuest
"Hard Times, Dickens",1854,ProQuest
"Harrington, Edgeworth",1817,Internet Archive
"Hartmann the Anarchist, Fawcett",1892,Project Gutenberg
"He Knew He Was Right, Trollope",1869,Project Gutenberg
"Headlong Hall, Peacock",1816,Project Gutenberg
"Heart of Darkness, Conrad",1899,Project Gutenberg
"Heart of the World, Haggard",1895,Project Gutenberg
"Hegel's Lectures on Aesthetics, Lewes",1842,ProQuest
"Helbeck of Bannisdale, van Arnim",1898,Project Gutenberg
"Helen with a High Hand, Bennett",1910,Project Gutenberg
"Helen, Edgeworth",1834,Internet Archive
"Henrietta Temple, Disraeli",1837,Project Gutenberg
"Henry James: An Appreciation, Conrad",1905,ProQuest
"Hereward the Wake, Kingsley",1866,ProQuest
"Hermsprong, Bage",1796,ProQuest
"Hester, Oliphant",1883,Project Gutenberg
"Homer, Dante, And Michael Angelo, Alison",1845,ProQuest
"Homeric Translation in Theory and Practice, Newman",1861,ProQuest
"Howards End, Forster",1910,Project Gutenberg
"Hypatia, Kingsley",1853,Project Gutenberg
"Hypercritica, Bolton",1815,ProQuest
"I Will Repay, Orczy",1906,Project Gutenberg
"Illustrations on Sublimity, Beattie",1783,ProQuest
"Illustrative Notes on Poetry And Art, Dobell",1876,ProQuest
"Imaginary Conversations, Landor",1891,ProQuest
"Imagination And Fancy, Hunt",1845,ProQuest
"Imperfect Sympathies, Lamb",1823,ProQuest
"In Chancery, Galsworthy",1920,Internet Archive
"In the Days of the Comet, Wells",1906,Project Gutenberg
"In the Reign of Terror, Henty",1888,Project Gutenberg
"In The Roar Of The Sea, Baring-Gould",1892,ProQuest
"In the Wilderness, Hichens",1917,Project Gutenberg
"In the Year of Jubilee, Gissing",1894,Project Gutenberg
"Ingleborough Hall, and Lord of the Manor, Herbert",1847,ProQuest
"Innocent: Her Fancy and His Fact, Corelli",1914,Project Gutenberg
"Introduction Aristophanic Comedy, Frere",1908,ProQuest
"Introduction in, Selections from the Modern British Dramatists, Lewes.txt",1867,ProQuest
"Introductory Chapter in, Female Writers, Stodart",1842,ProQuest
"Introductory Discourse, A Series Of Plays, Baillie",1798,ProQuest
"Introductory Essay in, Letters of Percy Bysshe Shelley, Browning",1852,ProQuest
"It Is Never Too Late to Mend, Reade",1856,Project Gutenberg
"Ivanhoe, Scott",1819,ProQuest
"Jack O'Judgment, Wallace",1920,Project Gutenberg
"Jack Sheppard, Ainsworth",1839,ProQuest
"Jane Eyre, Brontë",1847,ProQuest
"Jess, Haggard",1887,Project Gutenberg
"Joan and Peter, Wells",1918,Project Gutenberg
"Joan Haste, Haggard",1895,Project Gutenberg
"John Bull's Adventures in the Fiscal Wonderland, Geake and Gould",1904,Internet Archive
"John Burnet of Barns, Buchan",1898,Project Gutenberg
"John Halifax, Gentleman, Craik",1856,Project Gutenberg
"John Inglesant, Shorthouse",1881,Project Gutenberg
"John Paul Frederick Richter, De Quincey",1890,ProQuest
"Jude the Obscure, Hardy",1895,ProQuest
"Kate Plus Ten, Wallace",1917,Internet Archive
"Keble's Lectures on Poetry 1832-1841, Keble",1844,ProQuest
"Kenilworth, Scott",1821,ProQuest
"Kept in the Dark, Trollope",1882,Project Gutenberg
"Kidnapped, Stevenson",1886,ProQuest
"Kim, Kipling",1901,Project Gutenberg
"King of the Khyber Rifles, Mundy",1916,Project Gutenberg
"King Solomon's Mines, Haggard",1885,ProQuest
"Kipps, Wells",1905,Project Gutenberg
"Kit and Kitty, Blackmore",1890,Project Gutenberg
"Kitty Carstairs, Bell",1917,Project Gutenberg
"Ladies Whose Bright Eyes, Ford",1911,Internet Archive
"Lady Anna, Trollope",1874,Project Gutenberg
"Lady Athlyne, Stoker",1908,Project Gutenberg
"Lady Audley's Secret, Braddon",1862,ProQuest
"Lady Connie, Ward",1916,Project Gutenberg
"Lady Nairne and Her Songs, Henderson",1900,ProQuest
"Lady Rose's Daughter, Ward",1903,Project Gutenberg
"Lady Susan, Austen",1794,Project Gutenberg
"Lalla Rookh; an Oriental Romance, Jeffrey",1844,ProQuest
"Language, De Quincey",1890,ProQuest
"Lavengro, Borrow",1851,ProQuest
"Lecture on the Development of English Literature, Clough",1869,ProQuest
"Lecture on the Poetry of Wordsworth, Clough",1869,ProQuest
"Lectures on Dramatic Literature, Hazlitt",1816,ProQuest
"Lectures on Poetry and General Literature, Montgomery",1833,ProQuest
"Lectures on Rhetoric and Belles Lettres, Blair",1783,ProQuest
"Lectures on the English Poets, Hazlitt",1818,ProQuest
"Leonora, Edgeworth",1806,Project Gutenberg
"Letter of Elia to Robert Southey, Lamb",1823,ProQuest
"Letter to xxx, Byron",1821,ProQuest
"Letter XXXIV in, Fors Clavigera, Ruskin",1873,ProQuest
"Letters to a Young Man whose Education has been Neglected, De Quincey",1890,ProQuest
"Life in London, Egan",1821,Project Gutenberg
"Light Literature and The Saturday Review, Stephen",1855,ProQuest
"Lilith, Macdonald",1895,Project Gutenberg
"Literature & Dogma, Arnold",1873,ProQuest
"Literature. A Lecture in the School of Philosophy and Letters, Newman.txt",1873,ProQuest
"Little Dorrit Review, Stephen",1855,ProQuest
"Little Dorrit, Dickens",1857,ProQuest
"Little Lord Fauntleroy, Burnett",1886,ProQuest
"Liza of Lambeth, Maugham",1897,Project Gutenberg
"Lodore, Shelley",1835,ProQuest
"Lord Byron---Mr Moore---and Mr Leigh Hunt, Hunt",1831,ProQuest
"Lord Jim, Conrad",1900,Project Gutenberg
"Lord of the World, Benson",1907,Project Gutenberg
"Lord Tony's Wife, Orczy",1917,Project Gutenberg
"Lorna Doone, Blackmore",1869,ProQuest
"Loss and Gain, Newman",1848,ProQuest
"Lothair, Disraeli",1870,ProQuest
"Love Among the Chickens, Wodehouse",1906,Project Gutenberg
"Love and Mr Lewisham, Wells",1900,Project Gutenberg
"Love Eternal, Haggard",1918,Project Gutenberg
"Lovel the Widower, Thackeray",1861,ProQuest
"Lysbeth, Haggard",1901,Project Gutenberg
"Madame Bovary Review, Stephen",1855,ProQuest
"Madame de Mauves, James",1874,Project Gutenberg
"Madame de Stael's New Work, Hazlitt",1813,ProQuest
"Maid Marian, Peacock",1822,Project Gutenberg
"Maiwa's Revenge, Haggard",1888,Project Gutenberg
"Man and Wife, Collins",1870,ProQuest
"Man As He Is, Bage",1792,ProQuest
"Manalive, Chesterton",1912,Project Gutenberg
"Mandeville, Godwin",1817,Internet Archive
"Manfred; a Dramatic Poem Review, Jeffrey",1844,ProQuest
"Mansfield Park, Austen",1814,ProQuest
"Marcella, Warde",1894,Project Gutenberg
"Maria, Wollstonecraft",1792,Project Gutenberg
"Marie, Haggard",1912,Project Gutenberg
"Marius the Epicurean, Pater",1885,Project Gutenberg
"Marmaduke Wyvil; or, The Maid's Revenge, Herbert",1843,ProQuest
"Marriage, Ferrier",1818,ProQuest
"Marriage, Wells",1912,Project Gutenberg
"Martin Chuzzlewit, Dickens",1844,Project Gutenberg
"Mary Anerley, Blackmore",1880,Project Gutenberg
"Mary Barton, Gaskell",1848,ProQuest
"Mary Marston, Macdonald",1881,Project Gutenberg
"Mary, Wollstonecraft",1788,ProQuest
"Masterman Ready, or the Wreck of the Pacific, Marryat",1841,Project Gutenberg
"Mathilda, Shelley",1819,Project Gutenberg
"Maud, and other Poems Review, Masson",1855,ProQuest
"Meadowsweet, Orczy",1912,Internet Archive
"Meccania, Gregory",1918,Project Gutenberg
"Melincourt, Peacock",1817,Internet Archive
"Melmoth the Wanderer, Maturin",1820,ProQuest
"Memoirs of Emma Courtney, Hays",1796,ProQuest
"Memoirs of Modern Philosophers, Hamilton",1800,Internet Archive
"Memoirs of the Life of Sir Joshua Reynolds, Hazlitt",1820,ProQuest
"Men and Women Review, Masson",1856,ProQuest
"Men's Wives, Thackeray",1852,Project Gutenberg
"Mentoria; or, The Young Lady's Friend, Volume 2, Rowson",1794,ProQuest
"Meredith; or, The Mystery of the Meschianza, McHenry",1831,ProQuest
"Micah Clarke, Doyle",1889,Project Gutenberg
"Middlemarch, Eliot",1871,ProQuest
"Mike, Wodehouse",1909,Project Gutenberg
"Miranda of the Balcony, Mason",1911,Project Gutenberg
"Miscellaneous Observations on Genius, Taste, Good Sense, More",1791,ProQuest
"Miss Mackenzie, Trollope",1865,Project Gutenberg
"Miss Marjoribanks, Oliphant",1866,Project Gutenberg
"Mixed Essays, Arnold",1879,ProQuest
"Modern Chivalry Containing the Adventures of a Captain and Teague O'Regan, His Servant, Part II Volume 1, Breckenridge",1804,ProQuest
"Modern Chivalry: Containing the Adventures of a Captain, & Part II volume 1, Breckenridge",1804,ProQuest
"Modern Chivalry: Containing the Adventures of a Captain, & Part II volume 2, Brackenridge",1804,ProQuest
"Modern Chivalry: Containing the Adventures of Captain John Farrago, and Teague O'Regan, His Servant, Part I, Volumes 1-3, Brackenridge",1792,ProQuest
"Modern Chivalry: Containing the Adventures Of Captain John Farrago, and Teague O'regan, His Servant, Part II, Volume 4, Brackenridge",1815,ProQuest
"Modern Chivalry: Containing the Adventures of Captain John Farrago, and Teague O'Regan, His Servant, Volume IV, Brackenridge",1792,ProQuest
"Modern Painters. Volume III, Ruskin",1856,ProQuest
"Modern Romance and Novel, Moir",1842,ProQuest
"Molly Bawn, Hungerford",1878,Project Gutenberg
"Montezuma's Daughter, Haggard",1893,Project Gutenberg
"Moon of Israel, Haggard",1918,Project Gutenberg
"Moore and Byron, Hazlitt",1823,ProQuest
"Mordaunt, Moore",1800,ProQuest
"Morning Star, Haggard",1910,Project Gutenberg
"Mr Coleridge's Lay Sermon, Hazlitt",1816,ProQuest
"Mr Meeson's Will, Haggard",1888,Project Gutenberg
"Mr Midshipman Easy, Marryat",1836,Project Gutenberg
"Mr Standfast, Buchan",1919,Project Gutenberg
"Mr. Britling Sees It Through, Wells",1916,Project Gutenberg
"Mr. Grex of Monte Carlo, Oppenheim",1915,Project Gutenberg
"Mr. Hazlitt and the Utilitarians, Hunt",1830,ProQuest
"Mr. Justice Raffles, Hornung",1909,Project Gutenberg
"Mrs Craddock, Maugham",1902,Project Gutenberg
"Mrs. Armytage, Gore",1836,ProQuest
"Mrs. Overtheway's Remembrances, Ewing",1869,Project Gutenberg
"My Lady Caprice, Farnol",1907,Project Gutenberg
"My Lady Ludlow, Gaskell",1858,Project Gutenberg
"My Shooting Box, Forester",1846,ProQuest
"Mysterious Mr. Sabin, Oppenheim",1898,Project Gutenberg
"Nada the Lily, Haggard",1892,Project Gutenberg
"Narrative in, Female Writers, Stodart",1842,ProQuest
"Nature and Art, Inchbald",1796,ProQuest
"Neglected Genius, Byron",1825,ProQuest
"New Amazonia, Corbett",1889,Project Gutenberg
"New Grub Street, Gissing",1891,ProQuest
"New Poets, Patmore",1856,ProQuest
"News from Nowhere, Morris",1890,ProQuest
"Newton Forster, Marryat",1832,Project Gutenberg
"Nicholas Nickleby, Dickens",1839,Project Gutenberg
"Night and Day, Woolf",1919,Project Gutenberg
"Nightmare Abbey, Peacock",1818,ProQuest
"No Name, Collins",1862,ProQuest
"No Thoroughfare, Dickens and Collins",1867,Project Gutenberg
"North and South, Gaskell",1855,ProQuest
"Northanger Abbey, Austen",1817,Project Gutenberg
"Nostromo, Conrad",1904,Project Gutenberg
"Not George Washington, Wodehouse",1907,Project Gutenberg
"Notes on Gilfillan's Literary Portraits, De Quincey",1890,ProQuest
"Notes on Poems and Reviews, Swinburne",1866,ProQuest
"Novels and Novelists, Stephen",1855,ProQuest
"Now and Then, Warren",1847,Internet Archive
"O'Halloran; or, The Insurgent Chief, McHenry",1824,ProQuest
"Oakfield; or, Fellowship in the East, Arnold",1853,Internet Archive
"Observations upon 'Observations', Byron",1832,ProQuest
"Of Human Bondage, Maugham",1915,Project Gutenberg
